reserveRatio,availableShipsRatio,defenseReinforceRatio,defensePriorityBase,neutralHorizon,enemyGrowthWeight,attackPriorityForLargestEnemy,vulnerabilityPenalty,sourceMinShips,maxAttackDistance,internalRedistributionDistance,internalRedistributionShips,defensiveOverkillMargin,attackOverkillMargin,winRate,gamesPlayed,timestamp
0.2554082484169616,0.7374626173138302,0.7092046142386055,985.5322662510232,52,5.0,72.72407865451116,19.11464339647105,2,36,19,23,6,5,0.85,20,2025-05-16 03:40:07
0.2317190194367975,0.6592499627464372,0.6990756569803289,1222.4473915168408,48,8.369720277697878,62.323383210172224,11.907760560073921,2,43,26,24,6,5,0.8,20,2025-05-16 03:40:07
0.2067535260091397,0.6506405340441747,0.6938162488573076,1422.7668040369385,35,7.043008944626822,65.4667340040954,10.42768165952241,2,43,27,19,8,4,0.75,20,2025-05-16 03:40:07
0.1479781808329832,0.5,0.7064482365057548,1416.6815202825,58,5.766169256561366,64.87647089371538,7.109448912027224,2,47,23,26,7,6,0.9,20,2025-05-16 03:40:07
0.3469155937250143,0.7684694877446847,0.8216558468208649,1316.144479793978,25,6.291333545913423,62.341032580166555,8.253996512789477,3,32,28,18,9,3,0.6,20,2025-05-16 03:40:07
0.2947050791586553,0.6976747283189412,0.6987863028727539,1038.249437273711,58,5.224193132960494,49.89455166380114,17.73834155224143,2,44,31,21,5,7,0.85,20,2025-05-16 03:40:08
0.2808766869528524,0.5913062935256937,0.718359496537508,1534.1849103619127,27,10.557224846602143,62.45456607967945,5.0,2,51,29,20,9,5,0.85,20,2025-05-16 03:40:08
0.343099963427204,0.5862778952538995,0.7641791535545495,1673.1463220613662,33,10.142660004991049,67.21595167076998,12.89088737160683,2,53,34,19,7,5,0.9,20,2025-05-16 03:40:08
0.1,0.7212333564913438,0.7031191131235542,1495.7850178627446,23,8.707637801156533,51.25374843197561,10.898296151695547,2,42,24,21,8,4,0.7,20,2025-05-16 03:40:08
0.18090301047745824,0.5,0.6329287492685862,1810.302252370896,67,5.0,54.989166032211564,9.019094701497558,2,47,25,32,7,6,1.0,20,2025-05-16 03:40:08
0.18090301047745824,0.5,0.6329287492685862,1810.302252370896,67,5.0,54.989166032211564,9.019094701497558,2,47,25,32,7,6,0.9,20,2025-05-16 03:40:09
0.1479781808329832,0.5,0.7064482365057548,1416.6815202825,58,5.766169256561366,64.87647089371538,7.109448912027224,2,47,23,26,7,6,0.9,20,2025-05-16 03:40:09
0.3285731522689002,0.6318324013252378,0.8356165565226609,1395.577156976211,61,7.131017886681685,66.45797979080311,5.0,2,42,28,18,5,7,0.6,20,2025-05-16 03:40:09
0.2554082484169616,0.5862778952538995,0.7092046142386055,1673.1463220613662,33,5.0,67.21595167076998,12.89088737160683,2,36,19,23,7,5,0.9,20,2025-05-16 03:40:09
0.16265486823934816,0.5,0.6194432304862206,1652.9764906278717,47,5.0,54.9105038426756,9.244023577653074,2,48,18,32,7,5,0.95,20,2025-05-16 03:40:09
0.343099963427204,0.5862778952538995,0.7031191131235542,1495.7850178627446,23,10.142660004991049,67.21595167076998,12.89088737160683,2,53,24,19,7,4,0.65,20,2025-05-16 03:40:09
0.2808766869528524,0.5913062935256937,0.6938162488573076,1422.7668040369385,27,10.557224846602143,62.45456607967945,10.42768165952241,2,51,27,19,9,4,0.8,20,2025-05-16 03:40:09
0.2808766869528524,0.5913062935256937,0.718359496537508,1534.1849103619127,27,10.557224846602143,62.45456607967945,5.0,2,51,29,20,9,5,0.8,20,2025-05-16 03:40:09
0.1479781808329832,0.5,0.7064482365057548,1416.6815202825,58,5.766169256561366,64.87647089371538,7.109448912027224,2,47,23,26,7,6,0.9,20,2025-05-16 03:40:09
0.2808766869528524,0.5862778952538995,0.718359496537508,1534.1849103619127,27,10.557224846602143,67.21595167076998,5.0,2,53,29,20,7,5,0.7,20,2025-05-16 03:40:09
0.16265486823934816,0.5,0.6194432304862206,1652.9764906278717,47,5.0,54.9105038426756,9.244023577653074,2,48,18,32,7,5,1.0,20,2025-05-16 03:40:09
0.18090301047745824,0.5,0.6329287492685862,1810.302252370896,67,5.0,54.989166032211564,9.019094701497558,2,47,25,32,7,6,0.9,20,2025-05-16 03:40:09
0.16265486823934816,0.5,0.6194432304862206,1652.9764906278717,47,5.0,54.9105038426756,9.244023577653074,2,48,18,32,7,5,0.95,20,2025-05-16 03:40:09
0.2919950141340097,0.5,0.628585967789221,1400.955467702993,28,9.347413891987799,67.75926407474547,5.0,2,48,26,32,7,5,0.9,20,2025-05-16 03:40:09
0.2554082484169616,0.5862778952538995,0.7092046142386055,1416.6815202825,33,5.0,64.87647089371538,12.89088737160683,2,36,19,23,7,5,0.75,20,2025-05-16 03:40:09
0.18037351075359964,0.5,0.7066320296213238,1415.8432579570708,21,10.637422999374392,61.71963395146487,5.0,2,54,26,24,8,4,1.0,20,2025-05-16 03:40:09
0.43592897767886657,0.583533287071172,0.8467999233234975,1829.1786745613724,46,7.7801203666882675,62.77540056725998,5.0,1,59,33,18,6,5,0.9,20,2025-05-16 03:40:09
0.29552462190213,0.6185449932943733,0.656476150637399,1319.563498116507,29,5.292696754593276,54.76191273227964,14.97918809780302,2,64,34,28,6,5,0.85,20,2025-05-16 03:40:10
0.16265486823934816,0.5862778952538995,0.7092046142386055,1652.9764906278717,47,5.0,67.21595167076998,12.89088737160683,2,36,18,23,7,5,0.85,20,2025-05-16 03:40:10
0.1479781808329832,0.5,0.7064482365057548,1416.6815202825,33,5.0,64.87647089371538,12.89088737160683,2,47,23,26,7,5,0.85,20,2025-05-16 03:40:10
0.16265486823934816,0.5,0.6194432304862206,1652.9764906278717,47,5.0,54.9105038426756,9.244023577653074,2,48,18,32,7,5,0.8,20,2025-05-16 03:40:10
0.18037351075359964,0.5,0.7066320296213238,1415.8432579570708,21,10.637422999374392,61.71963395146487,5.0,2,54,26,24,8,4,0.8,20,2025-05-16 03:40:10
0.16265486823934816,0.5,0.8467999233234975,1829.1786745613724,47,5.0,62.77540056725998,9.244023577653074,2,48,33,18,6,5,0.8,20,2025-05-16 03:40:10
0.18037351075359964,0.5,0.6329287492685862,1415.8432579570708,21,10.637422999374392,61.71963395146487,9.019094701497558,2,54,26,32,7,4,0.95,20,2025-05-16 03:40:10
0.18037351075359964,0.5,0.7066320296213238,1415.8432579570708,28,10.637422999374392,61.71963395146487,5.0,2,48,26,24,7,5,0.9,20,2025-05-16 03:40:10
0.18090301047745824,0.5,0.6329287492685862,1400.955467702993,67,9.347413891987799,67.75926407474547,9.019094701497558,2,48,25,32,7,5,0.9,20,2025-05-16 03:40:10
0.19397028305752467,0.5,0.6636048530806311,2000.0,36,8.114827180912403,49.765083578271344,6.955391320369177,2,57,22,28,7,4,0.8,20,2025-05-16 03:40:10
0.1479781808329832,0.5,0.7064482365057548,1652.9764906278717,47,5.0,64.87647089371538,12.89088737160683,2,47,18,26,7,5,1.0,20,2025-05-16 03:40:10
0.16265486823934816,0.5,0.6194432304862206,1652.9764906278717,47,5.0,54.9105038426756,9.244023577653074,2,48,18,32,7,5,0.95,20,2025-05-16 03:40:10
0.16265486823934816,0.583533287071172,0.6194432304862206,1652.9764906278717,47,7.7801203666882675,54.9105038426756,9.244023577653074,1,48,33,18,6,5,0.9,20,2025-05-16 03:40:10
0.1479781808329832,0.5,0.7064482365057548,1652.9764906278717,47,5.0,64.87647089371538,12.89088737160683,2,47,18,26,7,5,0.9,20,2025-05-16 03:40:10
0.18037351075359964,0.5,0.6329287492685862,1415.8432579570708,21,10.637422999374392,61.71963395146487,9.019094701497558,2,54,26,32,7,4,0.95,20,2025-05-16 03:40:10
0.18037351075359964,0.5,0.6329287492685862,2000.0,21,10.637422999374392,61.71963395146487,9.019094701497558,2,57,26,28,7,4,1.0,20,2025-05-16 03:40:10
0.1479781808329832,0.5,0.7064482365057548,1415.8432579570708,47,5.0,64.87647089371538,5.0,2,48,18,26,7,5,0.95,20,2025-05-16 03:40:10
0.18037351075359964,0.5,0.6329287492685862,1415.8432579570708,28,10.637422999374392,61.71963395146487,9.019094701497558,2,54,26,32,7,4,0.85,20,2025-05-16 03:40:10
0.1479781808329832,0.5,0.7064482365057548,1652.9764906278717,47,5.0,64.87647089371538,12.89088737160683,2,47,33,26,6,5,0.85,20,2025-05-16 03:40:10
0.18037351075359964,0.5,0.6329287492685862,1415.8432579570708,67,9.347413891987799,61.71963395146487,5.0,2,48,25,24,7,5,0.9,20,2025-05-16 03:40:10
0.18037351075359964,0.5,0.6194432304862206,1415.8432579570708,28,10.637422999374392,54.9105038426756,5.0,2,48,26,24,7,5,0.9,20,2025-05-16 03:40:10
0.10389197593976243,0.5512870438655673,0.5461159936536177,1577.261701311797,30,7.366701436317985,69.40360385174779,8.182061857259347,1,45,33,27,5,5,0.95,20,2025-05-16 03:40:10
0.16265486823934816,0.5,0.7064482365057548,1652.9764906278717,47,5.0,54.9105038426756,9.244023577653074,2,48,18,32,7,5,1.0,20,2025-05-16 03:40:10
0.2554082484169616,0.7374626173138302,0.7092046142386055,985.5322662510232,52,5.0,72.72407865451116,19.11464339647105,2,36,19,23,6,5,0.65,40,2025-05-16 03:40:18
0.25739469280993293,0.7255777875431995,0.6532696718625501,1051.99779287043,51,6.883821064386857,74.48726806625595,15.741963439160529,2,38,23,23,6,5,0.7,40,2025-05-16 03:40:18
0.2967780287619927,0.721922629376638,0.7064392307054201,944.9243982459243,61,8.233794797149168,64.21698703891242,7.2973110057968,2,38,23,22,6,5,0.725,40,2025-05-16 03:40:18
0.2309439209806212,0.760218392108646,0.6442564477326719,1128.1571168811743,43,6.4422848451810735,62.13568026867911,10.20394488511116,2,41,21,23,6,5,0.725,40,2025-05-16 03:40:18
0.30375172967317754,0.7207638847892739,0.7268576606642516,904.0252654028892,46,7.092871782886004,80.44104062220288,12.510173361319573,2,31,16,21,6,5,0.8,40,2025-05-16 03:40:18
0.24607319629767105,0.803574914797294,0.6482288272412386,1193.5145316636836,56,6.438839578288978,64.58123169831738,12.004352825071223,2,41,20,22,6,5,0.675,40,2025-05-16 03:40:18
0.23779951553541176,0.7748462510667403,0.6688984817516721,891.264027253748,42,5.736361060462925,60.89299769138604,9.419542302382437,2,35,19,24,6,5,0.6,40,2025-05-16 03:40:19
0.2047938510610685,0.730321345713435,0.7638686355694393,1073.8592143058931,53,6.015950047969374,77.6537584432959,17.632186107086113,2,30,22,27,5,5,0.825,40,2025-05-16 03:40:19
0.19902107894861,0.8477629239987242,0.6114293962072024,1423.4540947780476,52,5.961643606696657,72.49571848954285,11.34111309396503,2,40,21,22,6,5,0.675,40,2025-05-16 03:40:19
0.33011964673863625,0.6965703991144727,0.7054329268929912,671.3184595806317,49,7.463640222052165,83.12709291665143,11.163923436701499,2,34,19,21,6,5,0.725,40,2025-05-16 03:40:19
0.31513114656422303,0.7457151897512391,0.7318358807961686,965.4733212011822,58,5.858602628704686,75.06706401308577,21.937368430344062,2,39,21,26,6,5,0.675,40,2025-05-16 03:40:19
0.3222536990302335,0.6777254744329235,0.6473864182919573,713.6465210853562,49,5.808453787796605,79.66392070394073,8.95044879753534,2,35,20,24,6,5,0.925,40,2025-05-16 03:40:19
0.35265580255602674,0.7712458105624316,0.7277603125166604,993.0346468194091,67,5.0,64.4906685953719,26.08653344355989,2,40,21,26,6,5,0.75,40,2025-05-16 03:40:19
0.2979424409230573,0.6552490269923792,0.7240738571423626,1009.0292609692714,65,9.612817046990104,76.9566934558902,5.0,2,39,25,23,6,5,0.825,40,2025-05-16 03:40:19
0.34689771323564067,0.6573548009432102,0.5991953526837756,696.4223648245788,57,5.0,78.89289869744589,6.962710973406553,2,33,17,24,6,5,0.85,40,2025-05-16 03:40:19
0.3222536990302335,0.6777254744329235,0.6473864182919573,713.6465210853562,49,5.808453787796605,79.66392070394073,8.95044879753534,2,35,20,24,6,5,0.8,40,2025-05-16 03:40:19
0.34689771323564067,0.6573548009432102,0.5991953526837756,696.4223648245788,57,5.0,78.89289869744589,6.962710973406553,2,33,17,24,6,5,0.875,40,2025-05-16 03:40:19
0.2047938510610685,0.730321345713435,0.7638686355694393,1073.8592143058931,53,6.015950047969374,77.6537584432959,17.632186107086113,2,30,22,27,5,5,0.8,40,2025-05-16 03:40:19
0.3222536990302335,0.6777254744329235,0.7268576606642516,713.6465210853562,46,7.092871782886004,79.66392070394073,8.95044879753534,2,31,16,21,6,5,0.775,40,2025-05-16 03:40:19
0.2270483621923507,0.6382272874782177,0.655561339527832,652.8313930415609,41,8.72827808587929,74.64865053304568,8.301841622107862,2,42,22,20,6,5,0.8,40,2025-05-16 03:40:19
0.15269241099091926,0.6430755217507472,0.7517683214288126,838.4470238241013,53,9.275168368871597,63.980068324569324,5.0,2,40,22,25,5,5,0.825,40,2025-05-16 03:40:19
0.2979424409230573,0.6552490269923792,0.7054329268929912,671.3184595806317,65,7.463640222052165,83.12709291665143,11.163923436701499,2,34,19,23,6,5,0.85,40,2025-05-16 03:40:19
0.34689771323564067,0.6573548009432102,0.6482288272412386,696.4223648245788,57,6.438839578288978,78.89289869744589,6.962710973406553,2,33,17,24,6,5,0.825,40,2025-05-16 03:40:19
0.34689771323564067,0.6573548009432102,0.5991953526837756,696.4223648245788,57,5.0,78.89289869744589,6.962710973406553,2,33,17,24,6,5,0.75,40,2025-05-16 03:40:19
0.35265580255602674,0.730321345713435,0.7277603125166604,1073.8592143058931,53,6.015950047969374,77.6537584432959,26.08653344355989,2,30,22,27,5,5,0.825,40,2025-05-16 03:40:19
0.3222536990302335,0.6777254744329235,0.6473864182919573,993.0346468194091,49,5.808453787796605,79.66392070394073,26.08653344355989,2,35,21,26,6,5,0.825,40,2025-05-16 03:40:19
0.2979424409230573,0.721922629376638,0.7064392307054201,944.9243982459243,65,9.612817046990104,76.9566934558902,7.2973110057968,2,39,23,22,6,5,0.825,40,2025-05-16 03:40:20
0.3121929116628083,0.7968964795014487,0.7482472096106023,1061.917124763622,66,5.0,64.3979173107916,15.642233449197567,2,38,20,24,6,5,0.675,40,2025-05-16 03:40:20
0.34689771323564067,0.6573548009432102,0.5991953526837756,1423.4540947780476,52,5.961643606696657,78.89289869744589,6.962710973406553,2,33,21,22,6,5,0.8,40,2025-05-16 03:40:20
0.2967780287619927,0.6573548009432102,0.5991953526837756,696.4223648245788,61,8.233794797149168,64.21698703891242,7.2973110057968,2,38,23,24,6,5,0.8,40,2025-05-16 03:40:20
0.34689771323564067,0.6573548009432102,0.5991953526837756,696.4223648245788,57,5.0,78.89289869744589,6.962710973406553,2,33,17,24,6,5,0.875,40,2025-05-16 03:40:20
0.2979424409230573,0.6552490269923792,0.7054329268929912,671.3184595806317,65,7.463640222052165,83.12709291665143,11.163923436701499,2,34,19,23,6,5,0.925,40,2025-05-16 03:40:20
0.15269241099091926,0.6430755217507472,0.7517683214288126,838.4470238241013,53,9.275168368871597,63.980068324569324,5.0,2,40,22,25,5,5,0.85,40,2025-05-16 03:40:20
0.34689771323564067,0.6573548009432102,0.7277603125166604,1073.8592143058931,57,6.015950047969374,77.6537584432959,26.08653344355989,2,30,22,24,6,5,0.75,40,2025-05-16 03:40:20
0.2690991253804258,0.6325683334474433,0.7329047958689218,578.9097077479744,55,9.005677145176108,78.17510477388701,12.434079393913322,2,32,24,23,6,5,0.9,40,2025-05-16 03:40:20
0.2979424409230573,0.721922629376638,0.7064392307054201,713.6465210853562,65,9.612817046990104,79.66392070394073,8.95044879753534,2,31,23,22,6,5,0.725,40,2025-05-16 03:40:20
0.16621587908909077,0.6447174557573867,0.6489711621418854,572.9187583273753,69,7.115115511431832,77.20312515971554,16.44914120205037,2,38,19,18,5,5,0.725,40,2025-05-16 03:40:20
0.15269241099091926,0.6430755217507472,0.7277603125166604,838.4470238241013,53,6.015950047969374,77.6537584432959,26.08653344355989,2,40,22,25,5,5,0.875,40,2025-05-16 03:40:20
0.34689771323564067,0.730321345713435,0.7277603125166604,1073.8592143058931,53,6.015950047969374,77.6537584432959,26.08653344355989,2,33,22,27,5,5,0.7,40,2025-05-16 03:40:20
0.2979424409230573,0.6552490269923792,0.7054329268929912,1061.917124763622,65,7.463640222052165,64.3979173107916,15.642233449197567,2,34,20,24,6,5,0.825,40,2025-05-16 03:40:20
0.3222536990302335,0.6777254744329235,0.6473864182919573,993.0346468194091,49,5.808453787796605,79.66392070394073,26.08653344355989,2,35,21,26,6,5,0.925,40,2025-05-16 03:40:20
0.2979424409230573,0.721922629376638,0.7064392307054201,944.9243982459243,65,9.612817046990104,76.9566934558902,7.2973110057968,2,39,23,22,6,5,0.675,40,2025-05-16 03:40:20
0.15269241099091926,0.6430755217507472,0.7517683214288126,696.4223648245788,57,6.438839578288978,78.89289869744589,5.0,2,33,17,25,6,5,0.8,40,2025-05-16 03:40:20
0.2979424409230573,0.6552490269923792,0.7517683214288126,838.4470238241013,65,7.463640222052165,83.12709291665143,11.163923436701499,2,34,22,23,5,5,0.9,40,2025-05-16 03:40:21
0.34689771323564067,0.6382272874782177,0.5991953526837756,652.8313930415609,41,5.0,74.64865053304568,6.962710973406553,2,33,17,24,6,5,0.775,40,2025-05-16 03:40:21
0.2979424409230573,0.6552490269923792,0.7054329268929912,671.3184595806317,65,7.463640222052165,83.12709291665143,11.163923436701499,2,34,19,23,6,5,0.775,40,2025-05-16 03:40:21
0.3222536990302335,0.6777254744329235,0.6473864182919573,993.0346468194091,49,5.808453787796605,79.66392070394073,26.08653344355989,2,35,21,26,6,5,0.75,40,2025-05-16 03:40:21
0.2690991253804258,0.6325683334474433,0.7329047958689218,578.9097077479744,55,9.005677145176108,78.17510477388701,12.434079393913322,2,32,24,23,6,5,0.825,40,2025-05-16 03:40:21
