reserveRatio,availableShipsRatio,defenseReinforceRatio,defensePriorityBase,neutralHorizon,enemyGrowthWeight,attackPriorityForLargestEnemy,vulnerabilityPenalty,sourceMinShips,maxAttackDistance,internalRedistributionDistance,internalRedistributionShips,defensiveOverkillMargin,attackOverkillMargin,winRate,gamesPlayed,timestamp
0.16144043852582665,0.5,0.8726788164910481,1981.3306658171791,32,7.773299340309059,25.210326562731378,40.149163959713626,2,80,40,39,3,2,0.95,20,2025-05-16 10:15:12
0.1,0.6103315098871394,0.95,2000.0,33,10.195893374648492,32.93004666975193,41.479617387639266,2,80,36,40,3,5,0.95,20,2025-05-16 10:15:12
0.1,0.5,0.7947240886881034,2000.0,20,10.397894030756948,32.93004666975193,41.479617387639266,2,70,36,40,3,5,0.95,20,2025-05-16 10:15:12
0.17590234690835468,0.5591076260779985,0.8726788164910481,1981.3306658171791,32,10.445515033101332,20.0,20.41768315692771,2,78,37,39,5,5,0.95,20,2025-05-16 10:15:13
0.2059803921984455,0.5652843096319218,0.8816893057533951,1865.9620036406307,28,12.014642462440303,23.958143120018576,20.41768315692771,2,70,32,36,5,1,0.95,20,2025-05-16 10:15:13
0.2695195924865685,0.5,0.7986369193357093,2000.0,20,8.969421972355512,33.886956742351,50.0,2,80,40,36,6,6,0.95,20,2025-05-16 10:15:13
0.2059803921984455,0.5652843096319218,0.8816893057533951,1865.9620036406307,28,12.014642462440303,23.958143120018576,20.41768315692771,2,70,32,36,5,1,0.95,20,2025-05-16 10:15:13
0.1,0.5,0.7947240886881034,2000.0,32,7.773299340309059,32.93004666975193,40.149163959713626,2,80,36,39,3,5,0.95,20,2025-05-16 10:15:13
0.16144043852582665,0.5,0.7986369193357093,2000.0,32,7.773299340309059,25.210326562731378,40.149163959713626,2,80,40,39,6,6,0.95,20,2025-05-16 10:15:13
0.1,0.5,0.8396567521425995,1805.0411697941195,20,6.417206941396553,32.93004666975193,41.479617387639266,2,74,40,40,3,5,0.95,20,2025-05-16 10:15:13
