Agent,Category,Range,Games,Wins,Losses,Draws,WinRate,AvgDuration
StrategicAgentImproved-H60,Planet Count,Small (10-15),64,26,30,8,40,63,5,51
StrategicAgentImproved-H60,Planet Count,Medium (16-22),94,38,56,0,40,43,17,16
StrategicAgentImproved-H60,Planet Count,Large (23-30),102,59,43,0,57,84,35,93
StrategicAgentImproved-H60,Transporter Speed,Slow (2.0-3.0),86,9,70,7,10,47,23,94
StrategicAgentImproved-H60,Transporter Speed,Medium (3.1-4.0),79,46,32,1,58,23,22,65
StrategicAgentImproved-H60,Transporter Speed,Fast (4.1-5.0),69,50,19,0,72,46,18,46
StrategicAgentImproved-H60,Growth Rate,Low (0.02-0.08),42,16,25,1,38,10,22,96
StrategicAgentImproved-H60,Growth Rate,Medium (0.09-0.15),100,52,45,3,52,00,20,88
StrategicAgentImproved-H60,Growth Rate,High (0.16-0.20),62,31,28,3,50,00,19,52
StrategicAgentImproved-H60,Neutral Ratio,Low Neutral (0.20-0.28),75,35,37,3,46,67,20,57
StrategicAgentImproved-H60,Neutral Ratio,Medium Neutral (0.29-0.32),78,31,46,1,39,74,22,54
StrategicAgentImproved-H60,Neutral Ratio,High Neutral (0.33-0.40),61,35,24,2,57,38,21,24
StrategicAgentImproved-H60,Game Duration,Short (400-800),92,41,47,4,44,57,17,91
StrategicAgentImproved-H60,Game Duration,Medium (801-1200),101,49,50,2,48,51,21,46
StrategicAgentImproved-H60,Game Duration,Long (1201-1500),67,33,32,2,49,25,27,11
StrategicAgentImproved-H70,Planet Count,Small (10-15),78,38,33,7,48,72,6,18
StrategicAgentImproved-H70,Planet Count,Medium (16-22),91,53,36,2,58,24,17,55
StrategicAgentImproved-H70,Planet Count,Large (23-30),91,54,37,0,59,34,41,62
StrategicAgentImproved-H70,Transporter Speed,Slow (2.0-3.0),76,18,50,8,23,68,28,09
StrategicAgentImproved-H70,Transporter Speed,Medium (3.1-4.0),76,47,28,1,61,84,25,14
StrategicAgentImproved-H70,Transporter Speed,Fast (4.1-5.0),84,67,17,0,79,76,16,12
StrategicAgentImproved-H70,Growth Rate,Low (0.02-0.08),45,28,17,0,62,22,28,65
StrategicAgentImproved-H70,Growth Rate,Medium (0.09-0.15),98,49,45,4,50,00,21,04
StrategicAgentImproved-H70,Growth Rate,High (0.16-0.20),59,35,21,3,59,32,24,86
StrategicAgentImproved-H70,Neutral Ratio,Low Neutral (0.20-0.28),84,40,41,3,47,62,23,43
StrategicAgentImproved-H70,Neutral Ratio,Medium Neutral (0.29-0.32),70,43,23,4,61,43,22,93
StrategicAgentImproved-H70,Neutral Ratio,High Neutral (0.33-0.40),57,34,23,0,59,65,20,91
StrategicAgentImproved-H70,Game Duration,Short (400-800),96,56,37,3,58,33,15,22
StrategicAgentImproved-H70,Game Duration,Medium (801-1200),85,46,36,3,54,12,24,45
StrategicAgentImproved-H70,Game Duration,Long (1201-1500),79,43,33,3,54,43,29,45
StrategicAgentImproved-H80,Planet Count,Small (10-15),73,30,42,1,41,10,6,98
StrategicAgentImproved-H80,Planet Count,Medium (16-22),89,56,32,1,62,92,16,49
StrategicAgentImproved-H80,Planet Count,Large (23-30),98,65,33,0,66,33,43,54
StrategicAgentImproved-H80,Transporter Speed,Slow (2.0-3.0),87,37,48,2,42,53,34,01
StrategicAgentImproved-H80,Transporter Speed,Medium (3.1-4.0),65,43,22,0,66,15,18,53
StrategicAgentImproved-H80,Transporter Speed,Fast (4.1-5.0),80,55,25,0,68,75,18,64
StrategicAgentImproved-H80,Growth Rate,Low (0.02-0.08),38,24,14,0,63,16,25,38
StrategicAgentImproved-H80,Growth Rate,Medium (0.09-0.15),107,57,50,0,53,27,24,74
StrategicAgentImproved-H80,Growth Rate,High (0.16-0.20),61,39,22,0,63,93,22,48
StrategicAgentImproved-H80,Neutral Ratio,Low Neutral (0.20-0.28),79,49,30,0,62,03,18,53
StrategicAgentImproved-H80,Neutral Ratio,Medium Neutral (0.29-0.32),77,43,34,0,55,84,26,20
StrategicAgentImproved-H80,Neutral Ratio,High Neutral (0.33-0.40),55,30,24,1,54,55,29,00
StrategicAgentImproved-H80,Game Duration,Short (400-800),87,44,41,2,50,57,17,17
StrategicAgentImproved-H80,Game Duration,Medium (801-1200),94,57,37,0,60,64,25,26
StrategicAgentImproved-H80,Game Duration,Long (1201-1500),79,50,29,0,63,29,30,07
StrategicAgentImproved-H150,Planet Count,Small (10-15),67,22,45,0,32,84,9,18
StrategicAgentImproved-H150,Planet Count,Medium (16-22),88,31,57,0,35,23,24,20
StrategicAgentImproved-H150,Planet Count,Large (23-30),105,34,71,0,32,38,52,59
StrategicAgentImproved-H150,Transporter Speed,Slow (2.0-3.0),87,36,51,0,41,38,37,83
StrategicAgentImproved-H150,Transporter Speed,Medium (3.1-4.0),78,27,51,0,34,62,28,57
StrategicAgentImproved-H150,Transporter Speed,Fast (4.1-5.0),74,15,59,0,20,27,25,16
StrategicAgentImproved-H150,Growth Rate,Low (0.02-0.08),52,16,36,0,30,77,38,96
StrategicAgentImproved-H150,Growth Rate,Medium (0.09-0.15),96,35,61,0,36,46,28,34
StrategicAgentImproved-H150,Growth Rate,High (0.16-0.20),64,19,45,0,29,69,28,57
StrategicAgentImproved-H150,Neutral Ratio,Low Neutral (0.20-0.28),82,31,51,0,37,80,27,32
StrategicAgentImproved-H150,Neutral Ratio,Medium Neutral (0.29-0.32),71,20,51,0,28,17,33,46
StrategicAgentImproved-H150,Neutral Ratio,High Neutral (0.33-0.40),56,18,38,0,32,14,30,57
StrategicAgentImproved-H150,Game Duration,Short (400-800),89,29,60,0,32,58,25,00
StrategicAgentImproved-H150,Game Duration,Medium (801-1200),111,37,74,0,33,33,32,67
StrategicAgentImproved-H150,Game Duration,Long (1201-1500),60,21,39,0,35,00,40,24
StrategicAgentImproved-H140,Planet Count,Small (10-15),68,39,29,0,57,35,9,67
StrategicAgentImproved-H140,Planet Count,Medium (16-22),80,34,46,0,42,50,22,08
StrategicAgentImproved-H140,Planet Count,Large (23-30),112,51,61,0,45,54,54,51
StrategicAgentImproved-H140,Transporter Speed,Slow (2.0-3.0),76,46,30,0,60,53,36,64
