Agent,Category,Range,Games,Wins,Losses,Draws,WinRate,AvgDuration
StrategicAgentDynamic,Planet Count,Small (10-15),113,108,5,0,95,58,1,90
StrategicAgentDynamic,Planet Count,Medium (16-22),148,143,5,0,96,62,4,69
StrategicAgentDynamic,Planet Count,Large (23-30),139,134,5,0,96,40,7,34
StrategicAgentDynamic,Transporter Speed,Slow (2.0-3.0),119,108,11,0,90,76,6,60
StrategicAgentDynamic,Transporter Speed,Medium (3.1-4.0),112,110,2,0,98,21,3,76
StrategicAgentDynamic,Transporter Speed,Fast (4.1-5.0),125,123,2,0,98,40,4,06
StrategicAgentDynamic,Growth Rate,Low (0.02-0.08),72,69,3,0,95,83,4,28
StrategicAgentDynamic,Growth Rate,Medium (0.09-0.15),148,140,8,0,94,59,5,63
StrategicAgentDynamic,Growth Rate,High (0.16-0.20),93,92,1,0,98,92,4,88
StrategicAgentDynamic,Neutral Ratio,Low Neutral (0.20-0.28),111,109,2,0,98,20,4,96
StrategicAgentDynamic,Neutral Ratio,Medium Neutral (0.29-0.32),115,109,6,0,94,78,5,20
StrategicAgentDynamic,Neutral Ratio,High Neutral (0.33-0.40),92,89,3,0,96,74,4,25
StrategicAgentDynamic,Game Duration,Short (400-800),147,137,10,0,93,20,4,33
StrategicAgentDynamic,Game Duration,Medium (801-1200),144,142,2,0,98,61,5,22
StrategicAgentDynamic,Game Duration,Long (1201-1500),109,106,3,0,97,25,4,97
StrategicAgentImproved-H100,Planet Count,Small (10-15),113,84,28,1,74,34,4,46
StrategicAgentImproved-H100,Planet Count,Medium (16-22),152,110,42,0,72,37,10,07
StrategicAgentImproved-H100,Planet Count,Large (23-30),135,105,30,0,77,78,21,10
StrategicAgentImproved-H100,Transporter Speed,Slow (2.0-3.0),124,103,20,1,83,06,16,77
StrategicAgentImproved-H100,Transporter Speed,Medium (3.1-4.0),110,78,32,0,70,91,11,17
StrategicAgentImproved-H100,Transporter Speed,Fast (4.1-5.0),122,90,32,0,73,77,9,36
StrategicAgentImproved-H100,Growth Rate,Low (0.02-0.08),75,56,19,0,74,67,10,62
StrategicAgentImproved-H100,Growth Rate,Medium (0.09-0.15),154,112,42,0,72,73,13,73
StrategicAgentImproved-H100,Growth Rate,High (0.16-0.20),103,82,21,0,79,61,13,18
StrategicAgentImproved-H100,Neutral Ratio,Low Neutral (0.20-0.28),104,76,27,1,73,08,9,99
StrategicAgentImproved-H100,Neutral Ratio,Medium Neutral (0.29-0.32),122,92,30,0,75,41,13,46
